Item name,Billed Qty,Product MRP,Sales Unit,Product Cost (without tax),Product Tax %,Profit Margin,Cumulative Profit Margin,,,,,Unique Items,Cumulative Profit Margin Unique,,SORTED Unique Items,Profit Margin Unique SORTED,,Cumulative Profit Margin,Cumulative Profit Margin Unique %,Cumulative Profit Margin Unique % SUM,Category,,,,
GELUSIL MPS 200ML,1,126.49,1,80.11,12,36.7668,1528974.424,,,,,,,,,,,,,,,,,,
GELUSIL MPS 200ML,1,126.49,1,80.11,12,36.7668,1529011.191,,,,,,,,,,,,,,,,,,
GELUSIL MPS 200ML,1,126.49,1,80.11,12,36.7668,1529047.957,,,,,,,,,,,,,,,,,,
GELUSIL MPS 200ML,1,126.49,1,80.11,12,36.7668,1529084.724,,,,,,,,,,,,,,,,,,
GELUSIL MPS 200ML,1,126.49,1,80.11,12,36.7668,1529121.491,,,,,,,,,,,,,,,,,,
GELUSIL MPS 200ML,1,126.49,1,80.11,12,36.7668,1529158.258,,,,,,,,,,,,,,,,,,
TOLPA D TAB,6,167,10,94.44,12,36.73632,1529194.994,,,,,,,,,,,,,,,,,,
TOLPA D TAB,6,167,10,94.44,12,36.73632,1529231.73,,,,,,,,,,,,,,,,,,
GINKOCER PLUS,5,306.13,10,197.17,18,36.7347,1529268.465,,,,,,,,,,,,,,,,,,
ACIVIR DT 400MG,10,76.55,5,51.95,12,36.732,1529305.197,,,,,,,,,,,,,,,,,,
NEXITO FORTE,10,153,10,103.82,12,36.7216,1529341.919,,,,,,,,,,,,,,,,,,
CLAVIX AS 75MG,30,76.5,15,51.91,12,36.7216,1529378.64,,,,,,,,,,,,,,,,,,
DEKSEL NANO 60000 SYP 5ML,2,76.5,1,51.91,12,36.7216,1529415.362,,,,,,,,,,,,,,,,,,
QUTAN SR 50MG,20,76.5,10,51.91,12,36.7216,1529452.084,,,,,,,,,,,,,,,,,,
NEXITO FORTE,10,153,10,103.82,12,36.7216,1529488.805,,,,,,,,,,,,,,,,,,
NEXITO FORTE,10,153,10,103.82,12,36.7216,1529525.527,,,,,,,,,,,,,,,,,,
CANDID MOUTH PAINT 25ML,1,153,1,103.83,12,36.7104,1529562.237,,,,,,,,,,,,,,,,,,
CANDID MOUTH PAINT 25ML,1,153,1,103.83,12,36.7104,1529598.948,,,,,,,,,,,,,,,,,,
KMAC 200ML,1,153,1,103.83,12,36.7104,1529635.658,,,,,,,,,,,,,,,,,,
NEXITO FORTE,10,153,10,103.83,12,36.7104,1529672.368,,,,,,,,,,,,,,,,,,
CANDID MOUTH PAINT 25ML,1,153,1,103.83,12,36.7104,1529709.079,,,,,,,,,,,,,,,,,,
PARKITIDIN ,10,153,10,103.83,12,36.7104,1529745.789,,,,,,,,,,,,,,,,,,
PARKITIDIN ,10,153,10,103.83,12,36.7104,1529782.5,,,,,,,,,,,,,,,,,,
PARKITIDIN ,10,153,10,103.83,12,36.7104,1529819.21,,,,,,,,,,,,,,,,,,
STUGERON PLUS,10,153,10,103.83,12,36.7104,1529855.92,,,,,,,,,,,,,,,,,,
CANDID MOUTH PAINT 25ML,1,153,1,103.83,12,36.7104,1529892.631,,,,,,,,,,,,,,,,,,
FML EYE DROPS 5ML,1,152.93,1,103.77,12,36.7076,1529929.338,,,,,,,,,,,,,,,,,,
FML EYE DROPS 5ML,1,152.93,1,103.77,12,36.7076,1529966.046,,,,,,,,,,,,,,,,,,
RIBOFLAVINE,100,13.2,10,8.51,12,36.688,1530002.734,,,,,,,,,,,,,,,,,,
FERRADOL 200GM,1,152.9,1,98.49,18,36.6818,1530039.416,,,,,,,,,,,,,,,,,,
FERRADOL 200GM,1,152.9,1,98.49,18,36.6818,1530076.098,,,,,,,,,,,,,,,,,,
FERRADOL 200GM,1,152.9,1,98.49,18,36.6818,1530112.779,,,,,,,,,,,,,,,,,,
GLITARAY M2,15,152.8,15,103.69,12,36.6672,1530149.447,,,,,,,,,,,,,,,,,,
ZEDEX SF 100ML,1,152.75,1,103.65,12,36.662,1530186.109,,,,,,,,,,,,,,,,,,
ZEDEX SF 100ML,1,152.75,1,103.65,12,36.662,1530222.771,,,,,,,,,,,,,,,,,,
AVOMINE 25mg,30,50.89,10,34.53,12,36.6492,1530259.42,,,,,,,,,,,,,,,,,,
ROSEDAY A 10MG,20,78.95,10,54.13,12,36.6488,1530296.069,,,,,,,,,,,,,,,,,,
ORS L APPLE  DRINK 200ML,2,42,1,21.14,12,36.6464,1530332.715,,,,,,,,,,,,,,,,,,
ORS L APPLE  DRINK 200ML,2,42,1,21.14,12,36.6464,1530369.361,,,,,,,,,,,,,,,,,,
BECOSULES Z,60,45.96,20,30.13,12,36.6432,1530406.005,,,,,,,,,,,,,,,,,,
BECOSULES Z,60,45.96,20,30.13,12,36.6432,1530442.648,,,,,,,,,,,,,,,,,,
TECZINE 10MG,10,229,15,155.39,12,36.64213333,1530479.29,,,,,,,,,,,,,,,,,,
MONTICOPE ,10,99.9,10,56.49,12,36.6312,1530515.921,,,,,,,,,,,,,,,,,,
MONTICOPE ,10,99.9,10,56.49,12,36.6312,1530552.552,,,,,,,,,,,,,,,,,,
LECOPE M TABS,10,99.9,10,56.49,12,36.6312,1530589.183,,,,,,,,,,,,,,,,,,
MONTICOPE ,10,99.9,10,56.49,12,36.6312,1530625.815,,,,,,,,,,,,,,,,,,
NUROKIND GOLD,10,99.9,10,56.49,12,36.6312,1530662.446,,,,,,,,,,,,,,,,,,
NUROKIND GOLD,10,99.9,10,56.49,12,36.6312,1530699.077,,,,,,,,,,,,,,,,,,
MONTICOPE ,10,99.9,10,56.49,12,36.6312,1530735.708,,,,,,,,,,,,,,,,,,
MONTICOPE ,10,99.9,10,56.49,12,36.6312,1530772.339,,,,,,,,,,,,,,,,,,
NUROKIND GOLD,10,99.9,10,56.49,12,36.6312,1530808.971,,,,,,,,,,,,,,,,,,
MONTICOPE ,10,99.9,10,56.49,12,36.6312,1530845.602,,,,,,,,,,,,,,,,,,
NUROKIND GOLD,10,99.9,10,56.49,12,36.6312,1530882.233,,,,,,,,,,,,,,,,,,
NUROKIND GOLD,10,99.9,10,56.49,12,36.6312,1530918.864,,,,,,,,,,,,,,,,,,
NUROKIND GOLD,10,99.9,10,56.49,12,36.6312,1530955.495,,,,,,,,,,,,,,,,,,
ATEN AM,14,152.55,14,103.51,12,36.6188,1530992.114,,,,,,,,,,,,,,,,,,
ATEN AM,14,152.55,14,103.51,12,36.6188,1531028.733,,,,,,,,,,,,,,,,,,
ATEN AM,14,152.55,14,103.51,12,36.6188,1531065.352,,,,,,,,,,,,,,,,,,
KETZI CREAM 30GM,1,183,1,130.71,12,36.6048,1531101.957,,,,,,,,,,,,,,,,,,
MOREASE SR TABS,10,157.75,10,108.17,12,36.5996,1531138.556,,,,,,,,,,,,,,,,,,
PEVESCA SR PLUS 75,10,152.25,10,103.31,12,36.5428,1531175.099,,,,,,,,,,,,,,,,,,
NADOXIN C CREAM,1,152.25,1,103.31,12,36.5428,1531211.642,,,,,,,,,,,,,,,,,,
SUSTEN 200mg,5,315,10,216,12,36.54,1531248.182,,,,,,,,,,,,,,,,,,
ASCORIL D 100ML,1,129,1,82.56,12,36.5328,1531284.715,,,,,,,,,,,,,,,,,,
ASCORIL D 100ML,1,129,1,82.56,12,36.5328,1531321.247,,,,,,,,,,,,,,,,,,
ASCORIL D 100ML,1,129,1,82.56,12,36.5328,1531357.78,,,,,,,,,,,,,,,,,,
ASCORIL D 100ML,1,129,1,82.56,12,36.5328,1531394.313,,,,,,,,,,,,,,,,,,
ASCORIL D 100ML,1,129,1,82.56,12,36.5328,1531430.846,,,,,,,,,,,,,,,,,,
BRESOL TAB,1,140,1,92.39,12,36.5232,1531467.369,,,,,,,,,,,,,,,,,,
MELMET 500MG,90,33.82,20,22.95,12,36.522,1531503.891,,,,,,,,,,,,,,,,,,
URISPAS,5,456.56,15,309.82,12,36.52053333,1531540.412,,,,,,,,,,,,,,,,,,
URISPAS,5,456.56,15,309.82,12,36.52053333,1531576.932,,,,,,,,,,,,,,,,,,
URISPAS,5,456.56,15,309.82,12,36.52053333,1531613.453,,,,,,,,,,,,,,,,,,
NUROKIND FAST,8,18.99,1,12.88,12,36.5152,1531649.968,,,,,,,,,,,,,,,,,,
NUROKIND FAST,8,18.99,1,12.88,12,36.5152,1531686.483,,,,,,,,,,,,,,,,,,
NUROKIND FAST,8,18.99,1,12.88,12,36.5152,1531722.998,,,,,,,,,,,,,,,,,,
KLUSTHAIR,10,180,10,121.6,18,36.512,1531759.51,,,,,,,,,,,,,,,,,,
FLORICOT,10,152.08,10,103.2,12,36.496,1531796.006,,,,,,,,,,,,,,,,,,
FLORICOT,10,152.08,10,103.2,12,36.496,1531832.502,,,,,,,,,,,,,,,,,,
BETADINE 15g Oint,1,129.47,1,83.02,12,36.4876,1531868.99,,,,,,,,,,,,,,,,,,
BETADINE 15g Oint,1,129.47,1,83.02,12,36.4876,1531905.477,,,,,,,,,,,,,,,,,,
BETADINE 15g Oint,1,129.47,1,83.02,12,36.4876,1531941.965,,,,,,,,,,,,,,,,,,
BETADINE 15g Oint,1,129.47,1,83.02,12,36.4876,1531978.453,,,,,,,,,,,,,,,,,,
BETADINE 15g Oint,1,129.47,1,83.02,12,36.4876,1532014.94,,,,,,,,,,,,,,,,,,
BETADINE 15g Oint,1,129.47,1,83.02,12,36.4876,1532051.428,,,,,,,,,,,,,,,,,,
BETADINE 15g Oint,1,129.47,1,83.02,12,36.4876,1532087.915,,,,,,,,,,,,,,,,,,
BETADINE 15g Oint,1,129.47,1,83.02,12,36.4876,1532124.403,,,,,,,,,,,,,,,,,,
FENLONG LINIMET 30ML,2,59,1,36.39,12,36.4864,1532160.889,,,,,,,,,,,,,,,,,,
GABANEURON 100MG,15,152,15,103.14,12,36.4832,1532197.373,,,,,,,,,,,,,,,,,,
STIMULIV 200ML,1,152,1,103.14,12,36.4832,1532233.856,,,,,,,,,,,,,,,,,,
MYMI PLUS,10,152,10,103.14,12,36.4832,1532270.339,,,,,,,,,,,,,,,,,,
MYMI PLUS,10,152,10,103.14,12,36.4832,1532306.822,,,,,,,,,,,,,,,,,,
BETHERAN,10,152,10,103.14,12,36.4832,1532343.305,,,,,,,,,,,,,,,,,,
MYMI PLUS,10,152,10,103.14,12,36.4832,1532379.789,,,,,,,,,,,,,,,,,,
CUTISOFT CREAM,1,152,1,110.02,5,36.479,1532416.268,,,,,,,,,,,,,,,,,,
CUTISOFT CREAM,1,152,1,110.02,5,36.479,1532452.747,,,,,,,,,,,,,,,,,,
REVOCAL TABLET,8,190,10,122.38,18,36.47328,1532489.22,,,,,,,,,,,,,,,,,,
BISOHEART 2.5MG,30,50.6,10,34.33,12,36.4512,1532525.671,,,,,,,,,,,,,,,,,,
STARVOG 0.3MG,30,50.58,10,34.32,12,36.4248,1532562.096,,,,,,,,,,,,,,,,,,
STARVOG 0.3MG,30,50.58,10,34.32,12,36.4248,1532598.521,,,,,,,,,,,,,,,,,,
BUDENASE AQ NASAL SPRAY,1,151.7,1,102.94,12,36.4072,1532634.928,,,,,,,,,,,,,,,,,,
LOSAR 25MG,30,75.85,15,51.47,12,36.4072,1532671.335,,,,,,,,,,,,,,,,,,
LOSAR 25MG,30,75.85,15,51.47,12,36.4072,1532707.742,,,,,,,,,,,,,,,,,,
BUDENASE AQ NASAL SPRAY,1,151.7,1,102.94,12,36.4072,1532744.15,,,,,,,,,,,,,,,,,,
LOSAR 25MG,30,75.85,15,51.47,12,36.4072,1532780.557,,,,,,,,,,,,,,,,,,
BUDENASE AQ NASAL SPRAY,1,151.7,1,102.94,12,36.4072,1532816.964,,,,,,,,,,,,,,,,,,
LOSAR 25MG,30,75.85,15,51.47,12,36.4072,1532853.371,,,,,,,,,,,,,,,,,,
LOSAR 25MG,30,75.85,15,51.47,12,36.4072,1532889.778,,,,,,,,,,,,,,,,,,
BUDENASE AQ NASAL SPRAY,1,151.7,1,102.94,12,36.4072,1532926.186,,,,,,,,,,,,,,,,,,
LOSAR 25MG,30,75.85,15,51.47,12,36.4072,1532962.593,,,,,,,,,,,,,,,,,,
BUDENASE AQ NASAL SPRAY,1,151.7,1,102.94,12,36.4072,1532999,,,,,,,,,,,,,,,,,,
LOSAR 25MG,30,75.85,15,51.47,12,36.4072,1533035.407,,,,,,,,,,,,,,,,,,
LOSAR 25MG,30,75.85,15,51.47,12,36.4072,1533071.814,,,,,,,,,,,,,,,,,,
RIFAGUT 400MG,4,379,10,257.17,12,36.38784,1533108.202,,,,,,,,,,,,,,,,,,
RIFAGUT 400MG,4,379,10,257.17,12,36.38784,1533144.59,,,,,,,,,,,,,,,,,,
RESUN PLUS,10,180,10,128.25,12,36.36,1533180.95,,,,,,,,,,,,,,,,,,
HI COOL EYE OIN=HICOOL PF GEL,1,180,1,128.25,12,36.36,1533217.31,,,,,,,,,,,,,,,,,,
RESUN PLUS,10,180,10,128.25,12,36.36,1533253.67,,,,,,,,,,,,,,,,,,
HI COOL EYE OIN=HICOOL PF GEL,1,180,1,128.25,12,36.36,1533290.03,,,,,,,,,,,,,,,,,,
HI COOL EYE OIN=HICOOL PF GEL,1,180,1,128.25,12,36.36,1533326.39,,,,,,,,,,,,,,,,,,
HI COOL EYE OIN=HICOOL PF GEL,1,180,1,128.25,12,36.36,1533362.75,,,,,,,,,,,,,,,,,,
ACLESS 10MG,10,180,10,128.25,12,36.36,1533399.11,,,,,,,,,,,,,,,,,,
HI COOL EYE OIN=HICOOL PF GEL,1,180,1,128.25,12,36.36,1533435.47,,,,,,,,,,,,,,,,,,
COBADEX CZS,15,102.7,15,59.24,12,36.3512,1533471.821,,,,,,,,,,,,,,,,,,
COBADEX CZS,15,102.7,15,59.24,12,36.3512,1533508.172,,,,,,,,,,,,,,,,,,
COBADEX CZS,15,102.7,15,59.24,12,36.3512,1533544.524,,,,,,,,,,,,,,,,,,
COBADEX CZS,15,102.7,15,59.24,12,36.3512,1533580.875,,,,,,,,,,,,,,,,,,
COBADEX CZS,15,102.7,15,59.24,12,36.3512,1533617.226,,,,,,,,,,,,,,,,,,
COBADEX CZS,15,102.7,15,59.24,12,36.3512,1533653.577,,,,,,,,,,,,,,,,,,
COBADEX CZS,15,102.7,15,59.24,12,36.3512,1533689.928,,,,,,,,,,,,,,,,,,
COBADEX CZS,15,102.7,15,59.24,12,36.3512,1533726.28,,,,,,,,,,,,,,,,,,
RABEKIND 20MG,30,59.89,15,37.25,12,36.34,1533762.62,,,,,,,,,,,,,,,,,,
DOLO 650MG,45,34.27,15,19.79,12,36.3156,1533798.935,,,,,,,,,,,,,,,,,,
ITCHGUARD PLUS 20GM,2,108.9,1,81.02,12,36.3152,1533835.25,,,,,,,,,,,,,,,,,,
MACBERY SYP 100ML,1,99,1,55.98,12,36.3024,1533871.553,,,,,,,,,,,,,,,,,,
CANDID TOTAL CREAM 20 GM,1,99,1,55.98,12,36.3024,1533907.855,,,,,,,,,,,,,,,,,,
COFSILS(LEMON HONEY),30,33,10,18.66,12,36.3024,1533944.158,,,,,,,,,,,,,,,,,,
DAFLON 500MG,10,151.25,10,102.64,12,36.2932,1533980.451,,,,,,,,,,,,,,,,,,
DAFLON 500MG,10,151.25,10,102.64,12,36.2932,1534016.744,,,,,,,,,,,,,,,,,,
TOP INF SET= S V SET 21,2,39,1,18.62,12,36.2912,1534053.035,,,,,,,,,,,,,,,,,,
TOP INF SET= S V SET 21,2,39,1,18.62,12,36.2912,1534089.326,,,,,,,,,,,,,,,,,,
TOP INF SET=S V SET 22,2,39,1,18.62,12,36.2912,1534125.618,,,,,,,,,,,,,,,,,,
ROSEDAY 5MG,20,113.4,15,76.95,12,36.288,1534161.906,,,,,,,,,,,,,,,,,,
ZANOCIN OZ,9,168,10,114,12,36.288,1534198.194,,,,,,,,,,,,,,,,,,
ENCORATE CHRONO 300MG,20,78.2,10,53.63,12,36.2688,1534234.462,,,,,,,,,,,,,,,,,,
HERBOLAX 100'S,100,135,100,88.17,12,36.2496,1534270.712,,,,,,,,,,,,,,,,,,
KETZI SOAP,1,174,1,116.74,18,36.2468,1534306.959,,,,,,,,,,,,,,,,,,
EXEL GN CREAM,2,75.5,1,51.23,12,36.2448,1534343.204,,,,,,,,,,,,,,,,,,
RECITA 10MG,15,151.03,15,102.49,12,36.2412,1534379.445,,,,,,,,,,,,,,,,,,
ORS L ORANGE DRINK 200ML,2,45,1,24,12,36.24,1534415.685,,,,,,,,,,,,,,,,,,
ROZAVEL F 5MG,10,151,10,102.47,12,36.2336,1534451.918,,,,,,,,,,,,,,,,,,
D VENIZ 50MG,10,151,10,102.47,12,36.2336,1534488.152,,,,,,,,,,,,,,,,,,
PAXIDEP CR 12.5MG,10,151,10,102.47,12,36.2336,1534524.386,,,,,,,,,,,,,,,,,,
RAZEL CV 10/75,10,151,10,102.47,12,36.2336,1534560.619,,,,,,,,,,,,,,,,,,
RAZEL CV 10/75,10,151,10,102.47,12,36.2336,1534596.853,,,,,,,,,,,,,,,,,,
ROZAVEL F 5MG,10,151,10,102.47,12,36.2336,1534633.086,,,,,,,,,,,,,,,,,,
RAZEL CV 10/75,10,151,10,102.47,12,36.2336,1534669.32,,,,,,,,,,,,,,,,,,
RAZEL CV 10/75,10,151,10,102.47,12,36.2336,1534705.554,,,,,,,,,,,,,,,,,,
RAZEL CV 10/75,10,151,10,102.47,12,36.2336,1534741.787,,,,,,,,,,,,,,,,,,
RAZEL CV 10/75,10,151,10,102.47,12,36.2336,1534778.021,,,,,,,,,,,,,,,,,,
EXEL SKIN CREAM 30GM,1,151,1,102.47,12,36.2336,1534814.254,,,,,,,,,,,,,,,,,,
EXEL SKIN CREAM 30GM,1,151,1,102.47,12,36.2336,1534850.488,,,,,,,,,,,,,,,,,,
D VENIZ 50MG,10,151,10,102.47,12,36.2336,1534886.722,,,,,,,,,,,,,,,,,,
SHELCAL XT TAB,6,377.25,15,255.99,12,36.21648,1534922.938,,,,,,,,,,,,,,,,,,
ZEFORMIN XR 60MG,10,150.87,10,102.37,12,36.2156,1534959.154,,,,,,,,,,,,,,,,,,
FERONIA XT,10,156.1,10,107.04,12,36.2152,1534995.369,,,,,,,,,,,,,,,,,,
NEXPRO 40MG,15,156.1,15,107.04,12,36.2152,1535031.584,,,,,,,,,,,,,,,,,,
NEXPRO 40MG,15,156.1,15,107.04,12,36.2152,1535067.799,,,,,,,,,,,,,,,,,,
GATIQUIN P DROPS,1,150.79,1,102.32,12,36.1916,1535103.991,,,,,,,,,,,,,,,,,,
DART,30,49.35,15,27.91,12,36.1816,1535140.173,,,,,,,,,,,,,,,,,,
DART,30,49.35,15,27.91,12,36.1816,1535176.354,,,,,,,,,,,,,,,,,,
DART,30,49.35,15,27.91,12,36.1816,1535212.536,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535248.699,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535284.862,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535321.025,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535357.189,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535393.352,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535429.515,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535465.678,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535501.841,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535538.005,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535574.168,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535610.331,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535646.494,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535682.657,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535718.821,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535754.984,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535791.147,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535827.31,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535863.473,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535899.637,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535935.8,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1535971.963,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536008.126,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536044.289,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536080.453,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536116.616,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536152.779,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536188.942,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536225.105,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536261.269,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536297.432,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536333.595,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536369.758,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536405.921,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536442.085,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536478.248,,,,,,,,,,,,,,,,,,
BENADRYL 150ML,1,129,1,82.89,12,36.1632,1536514.411,,,,,,,,,,,,,,,,,,
REVELOL AM 25/5MG,15,150.7,15,102.27,12,36.1576,1536550.569,,,,,,,,,,,,,,,,,,
REVELOL AM 25/5MG,15,150.7,15,102.27,12,36.1576,1536586.726,,,,,,,,,,,,,,,,,,
ONDERO MET 2.5/500MG 10'S,1,179,1,127.54,12,36.1552,1536622.881,,,,,,,,,,,,,,,,,,
ONDERO MET 2.5/500MG 10'S,1,179,1,127.54,12,36.1552,1536659.037,,,,,,,,,,,,,,,,,,
ONDERO MET 2.5/500MG 10'S,1,179,1,127.54,12,36.1552,1536695.192,,,,,,,,,,,,,,,,,,
ZERODOL SP,14,107.6,10,73.02,12,36.14464,1536731.336,,,,,,,,,,,,,,,,,,
DYNOCOLD TAB,20,80,10,55.3,12,36.128,1536767.464,,,,,,,,,,,,,,,,,,
HYTEL H TAB,10,95,10,52.57,12,36.1216,1536803.586,,,,,,,,,,,,,,,,,,
ESAM 2.5MG,20,75.2,10,51.02,12,36.1152,1536839.701,,,,,,,,,,,,,,,,,,
BRAKKE,10,150.5,10,102.13,12,36.1144,1536875.816,,,,,,,,,,,,,,,,,,
BRAKKE,10,150.5,10,102.13,12,36.1144,1536911.93,,,,,,,,,,,,,,,,,,
BRAKKE,10,150.5,10,102.13,12,36.1144,1536948.044,,,,,,,,,,,,,,,,,,
BRAKKE,10,150.5,10,102.13,12,36.1144,1536984.159,,,,,,,,,,,,,,,,,,
BRAKKE,10,150.5,10,102.13,12,36.1144,1537020.273,,,,,,,,,,,,,,,,,,
BRO ZEDEX SF 100ML,1,150.5,1,102.13,12,36.1144,1537056.388,,,,,,,,,,,,,,,,,,
BRO ZEDEX SF 100ML,1,150.5,1,102.13,12,36.1144,1537092.502,,,,,,,,,,,,,,,,,,
BRO ZEDEX SF 100ML,1,150.5,1,102.13,12,36.1144,1537128.616,,,,,,,,,,,,,,,,,,
GLEVO 500MG,15,100.24,10,68.02,12,36.0864,1537164.703,,,,,,,,,,,,,,,,,,
ERYTHROCIN 250MG,30,50.12,10,34.01,12,36.0864,1537200.789,,,,,,,,,,,,,,,,,,
EZINAPI CREAM 30GM,1,155.5,1,101.2,18,36.084,1537236.873,,,,,,,,,,,,,,,,,,
EZINAPI CREAM 30GM,1,155.5,1,101.2,18,36.084,1537272.957,,,,,,,,,,,,,,,,,,
GLOVES {LARGE} 5.75,12,575,100,245,12,36.072,1537309.029,,,,,,,,,,,,,,,,,,
MET XL 25MG,30,100.12,20,67.93,12,36.0576,1537345.087,,,,,,,,,,,,,,,,,,
MET XL 25MG,30,100.12,20,67.93,12,36.0576,1537381.144,,,,,,,,,,,,,,,,,,
MET XL 25MG,30,100.12,20,67.93,12,36.0576,1537417.202,,,,,,,,,,,,,,,,,,
METAPRO XL 25MG,30,75.09,15,50.95,12,36.052,1537453.254,,,,,,,,,,,,,,,,,,
PROLOMET XL 25MG,30,50.05,10,33.96,12,36.0444,1537489.298,,,,,,,,,,,,,,,,,,
PROLOMET XL 25MG,30,50.05,10,33.96,12,36.0444,1537525.343,,,,,,,,,,,,,,,,,,
PROLOMET XL 25MG,30,50.05,10,33.96,12,36.0444,1537561.387,,,,,,,,,,,,,,,,,,
PROLOMET XL 25MG,30,50.05,10,33.96,12,36.0444,1537597.432,,,,,,,,,,,,,,,,,,
METZOK 25MG,30,50.06,10,33.97,12,36.0408,1537633.472,,,,,,,,,,,,,,,,,,
METZOK 25MG,30,50.06,10,33.97,12,36.0408,1537669.513,,,,,,,,,,,,,,,,,,
ACLESS 10MG,10,180,10,128.54,12,36.0352,1537705.548,,,,,,,,,,,,,,,,,,
ACLESS 10MG,10,180,10,128.54,12,36.0352,1537741.584,,,,,,,,,,,,,,,,,,
METOLAR XR 25MG,30,75.09,15,50.96,12,36.0296,1537777.613,,,,,,,,,,,,,,,,,,
STARPRESS XL 25MG,30,75.09,15,50.96,12,36.0296,1537813.643,,,,,,,,,,,,,,,,,,
STARPRESS XL 25MG,30,75.09,15,50.96,12,36.0296,1537849.672,,,,,,,,,,,,,,,,,,
STARPRESS XL 25MG,30,75.09,15,50.96,12,36.0296,1537885.702,,,,,,,,,,,,,,,,,,
OLEANZ 5MG,30,50,10,33.92,12,36.0288,1537921.731,,,,,,,,,,,,,,,,,,
OLEANZ 5MG,30,50,10,33.92,12,36.0288,1537957.76,,,,,,,,,,,,,,,,,,
OLEANZ 5MG,30,50,10,33.92,12,36.0288,1537993.788,,,,,,,,,,,,,,,,,,
OLEANZ 5MG,30,50,10,33.92,12,36.0288,1538029.817,,,,,,,,,,,,,,,,,,
GUMTONE TOOTHPOWDER,2,75,1,50.88,12,36.0288,1538065.846,,,,,,,,,,,,,,,,,,
REVELOL XL 25,30,75.1,15,50.97,12,36.0272,1538101.873,,,,,,,,,,,,,,,,,,
REVELOL XL 25,30,75.1,15,50.97,12,36.0272,1538137.9,,,,,,,,,,,,,,,,,,
LUBI GEL EYE DROPS,1,172,1,121.41,12,36.0208,1538173.921,,,,,,,,,,,,,,,,,,
TELMIKIND H,20,75,10,50.89,12,36.0064,1538209.928,,,,,,,,,,,,,,,,,,
DOCOWISE PLUS CAPS,10,150,10,101.78,12,36.0064,1538245.934,,,,,,,,,,,,,,,,,,
ETOSHINE 90MG,10,150,10,101.78,12,36.0064,1538281.94,,,,,,,,,,,,,,,,,,
